Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
65959,Across Five Aprils,Irene Hunt,"Hunt, Irene",,0425182789,9780425182789,3,3.51,Berkley,Paperback,224,2002,1964,,10/8/2020,,,read,,,,2,,,0,,,,,
1089956,Star of Light,Patricia St. John,"John, Patricia St.",,0802465773,9780802465771,4,4.05,Moody Publishers,Paperback,160,2002,1953,,10/8/2020,,,read,,,,1,,,0,,,,,
286043,"Encyclopedia Brown Tracks Them Down (Encyclopedia Brown, #8)",Donald J. Sobol,"Sobol, Donald J.",,0553150936,9780553150933,0,3.99,Bantam Skylark,Paperback,96,1971,1971,,10/2/2020,,,read,,,,1,,,0,,,,,
846192,"Of Flowers and Shadows (Portraits, #2)",Anna Kirwan,"Kirwan, Anna",,0439710103,9780439710107,4,3.54,Scholastic,Hardcover,160,2005,2005,,10/2/2020,,,read,,,,1,,,0,,,,,
481743,The Wave,Todd Strasser,"Strasser, Todd",Morton Rhue,0440993717,9780440993711,4,3.61,Laurel Leaf Books,Mass Market Paperback,138,2005,1981,,10/2/2020,,,read,,,,1,,,0,,,,,
16096824,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,1619634449,9781619634442,3,4.2,Bloomsbury USA Childrens,Hardcover,419,2015,2015,,10/2/2020,,,read,,,,1,,,0,,,,,
120555,The Veldt,Ray Bradbury,"Bradbury, Ray",Gary Kelley,0886821088,9780886821081,0,4.2,Creative Education,Paperback,45,1987,1950,,10/2/2020,,,read,,,,1,,,0,,,,,
28243032,We Are Okay,Nina LaCour,"LaCour, Nina",,0525425896,9780525425892,3,3.94,Dutton Books for Young Readers,Hardcover,236,2017,2017,9/30/2020,6/22/2018,,,read,,,,1,,,0,,,,,
835496,Testament of Friendship,Vera Brittain,"Brittain, Vera",,0860681505,9780860681502,0,3.99,Virago Press Ltd,Paperback,453,1992,1940,,9/26/2020,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
7851346,Lost Brother (Book Two in the Lost Mystery Trilogy),Franklin W. Dixon,"Dixon, Franklin W.",,1442402563,9781442402560,0,4.21,Aladdin,Paperback,160,2010,2010,,9/26/2020,,,read,,,,1,,,0,,,,,
7749151,The Children of the Lost (The Lost Mystery Trilogy #1),Franklin W. Dixon,"Dixon, Franklin W.",,1442402628,9781442402621,0,4.32,Aladdin,Paperback,192,2010,2010,,9/26/2020,,,read,,,,1,,,0,,,,,
3002348,"Double Trouble (Hardy Boys: Undercover Brothers, #25; Double Danger Trilogy, #1)",Franklin W. Dixon,"Dixon, Franklin W.",,1416967656,9781416967651,0,4.12,Aladdin,Paperback,176,2008,2008,,9/26/2020,,,read,,,,1,,,0,,,,,
2537757,"Murder House (Hardy Boys: Undercover Brothers, #24)",Franklin W. Dixon,"Dixon, Franklin W.",,1416964096,9781416964094,0,4.29,Aladdin,Paperback,160,2008,2008,,9/26/2020,,,read,,,,1,,,0,,,,,
2462121,"House Arrest (Hardy Boys: Undercover Brothers, #23)",Franklin W. Dixon,"Dixon, Franklin W.",,1416961712,9781416961710,0,4.13,Aladdin,Paperback,176,2008,2008,,9/26/2020,,,read,,,,1,,,0,,,,,
278532,"Pushed (Hardy Boys: Undercover Brothers, #18)",Franklin W. Dixon,"Dixon, Franklin W.",,1416948023,9781416948025,0,4.02,Aladdin,Paperback,160,2007,2007,,9/26/2020,,,read,,,,1,,,0,,,,,
1536453,"Thrill Ride (Hardy Boys: Undercover Brothers, #4)",Franklin W. Dixon,"Dixon, Franklin W.",,1416900055,9781416900054,0,3.97,Aladdin,Paperback,160,2005,2005,,9/26/2020,,,read,,,,1,,,0,,,,,
76968,"The Secret of Pirates' Hill (Hardy Boys, #36)",Franklin W. Dixon,"Dixon, Franklin W.",,044808936X,9780448089362,0,3.76,Grosset & Dunlap,Hardcover,192,1957,1956,,9/26/2020,,,read,,,,1,,,0,,,,,
76971,"The Secret of Wildcat Swamp (The Hardy Boys, #31)",Franklin W. Dixon,"Dixon, Franklin W.",,0448089319,9780448089317,0,3.79,"Grosset & Dunlap, Inc.",Hardcover,178,1952,1952,,9/26/2020,,,read,,,,1,,,0,,,,,
32198,"The Secret of Skull Mountain (Hardy Boys, #27)",Franklin W. Dixon,"Dixon, Franklin W.",,0448189275,9780448189277,0,3.82,Grosset & Dunlap,Paperback,192,1975,1948,,9/26/2020,,,read,,,,1,,,0,,,,,
76980,"What Happened at Midnight (The Hardy Boys, #10)",Franklin W. Dixon,"Dixon, Franklin W.",,0448089106,9780448089102,0,3.87,Grosset & Dunlap,Hardcover,173,1997,1931,,9/26/2020,,,read,,,,1,,,0,,,,,
76951,"Hunting for Hidden Gold (The Hardy Boys, #5)",Franklin W. Dixon,"Dixon, Franklin W.",,044808905X,9780448089058,0,3.92,Grosset & Dunlap,Hardcover,177,2003,1928,,9/26/2020,,,read,,,,1,,,0,,,,,
76978,"The Secret of the Old Mill (The Hardy Boys, #3)",Franklin W. Dixon,"Dixon, Franklin W.",,0448089033,9780448089034,0,3.88,Grosset & Dunlap,Hardcover,174,2002,1927,,9/26/2020,,,read,,,,1,,,0,,,,,
21032488,"The Doors of Stone (The Kingkiller Chronicle, #3)",Patrick Rothfuss,"Rothfuss, Patrick",,0575081449,9780575081444,0,3.68,Gollancz,Hardcover,896,,,,9/25/2020,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
34272476,Devotions: The Selected Poems of Mary Oliver,Mary Oliver,"Oliver, Mary",,0399563245,9780399563249,0,4.6,Penguin Press,Hardcover,456,2017,2017,,9/24/2020,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,1400067820,9781400067824,0,4.08,Random House,Hardcover,426,2012,2012,,9/24/2020,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas","David Chandler, Микола Климчук",1400063515,9781400063512,4,3.95,Random House ,Hardcover,366,2007,2007,,9/24/2020,,,read,,,,1,,,0,,,,,
76479,A Field Guide to Getting Lost,Rebecca Solnit,"Solnit, Rebecca",,0143037242,9780143037248,3,3.93,Penguin Books,Paperback,209,2006,2005,3/14/2020,2/11/2020,,,read,,,,1,,,0,,,,,
52766000,Big Friendship: How We Keep Each Other Close,Aminatou Sow,"Sow, Aminatou",Ann Friedman,1982111909,9781982111908,4,3.8,Simon  Schuster,Hardcover,256,2020,2020,,8/19/2020,,,read,,,,1,,,0,,,,,
6900,Tuesdays with Morrie,Mitch Albom,"Albom, Mitch",,0751529818,9780751529814,0,4.12,Warner,Paperback,210,2000,1997,,8/7/2020,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
42080142,The Turn of the Key,Ruth Ware,"Ware, Ruth",,1501188771,9781501188770,4,3.93,Scout Press,Hardcover,337,2019,2019,8/7/2020,7/29/2020,,,read,,,,1,,,0,,,,,
40095501,The Sign of the Beaver,Elizabeth George Speare,"Speare, Elizabeth George",,,,3,3.83,Houghton Mifflin Harcourt,Kindle Edition,148,1983,1983,,7/28/2020,,,read,,,,1,,,0,,,,,
10365,Where the Red Fern Grows,Wilson Rawls,"Rawls, Wilson",,0375806814,9780375806810,4,4.08,Yearling,Mass Market Paperback,272,2000,1961,,7/28/2020,,,read,,,,1,,,0,,,,,
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",ناهید ملکی,1455586692,9781455586691,3,4.19,Grand Central Publishing,Hardcover,296,2016,2016,7/25/2020,3/29/2020,,,read,,,,2,,,0,,,,,
32951877,Anxious for Nothing: Finding Calm in a Chaotic World,Max Lucado,"Lucado, Max",,0718096126,9780718096120,4,4.15,Thomas Nelson,Hardcover,240,2017,2017,7/21/2020,6/26/2020,,,read,,,,1,,,0,,,,,
31373633,And Every Morning the Way Home Gets Longer and Longer,Fredrik Backman,"Backman, Fredrik",,,,4,4.31,Atria Books,Kindle Edition,97,2016,2015,7/20/2020,6/30/2020,,,read,,,,1,,,0,,,,,
